Prefix,Species,Full Name,DNA_URL,MITO_URL,GFF_URL,CDS_URL
Albpec1,Albatrellus peckianus,'Albatrellus peckianus DAOM 52321 v1.0',https://genome.jgi.doe.gov/portal/Albpec1/download/Albpec1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Albpec1/download/Albpec1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Albpec1/download/Albpec1_GeneCatalog_20180618.gff3.gz,https://genome.jgi.doe.gov/portal/Albpec1/download/Albpec1_GeneCatalog_CDS_20180618.fasta.gz
Alikh1,Aliquandostipite khaoyaiensis,'Aliquandostipite khaoyaiensis CBS 118232 v1.0',https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_GeneCatalog_20170216.gff3.gz,https://genome.jgi.doe.gov/portal/Alikh1/download/Alikh1_GeneCatalog_CDS_20170216.fasta.gz
Allma1,Allomyces macrogynus,'Allomyces macrogynus ATCC 38327',https://genome.jgi.doe.gov/portal/Allma1/download/Allma1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Allma1/download/Allma1.filtered_proteins.BroadModels.gff3.gz,https://genome.jgi.doe.gov/portal/Allma1/download/Allma1_GeneCatalog_CDS_20131203.fasta.gz
Altalt1,Alternaria alternata,'Alternaria alternata MPI-PUGE-AT-0064 v1.0',https://genome.jgi.doe.gov/portal/Altalt1/download/Altalt1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altalt1/download/Altalt1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altalt1/download/Altalt1_GeneCatalog_20170627.gff3.gz,https://genome.jgi.doe.gov/portal/Altalt1/download/Altalt1_GeneCatalog_CDS_20170627.fasta.gz
Altal1,Alternaria alternata,'Alternaria alternata SRC1lrK2f v1.0',https://genome.jgi.doe.gov/portal/Altal1/download/Altal1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altal1/download/Altal1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altal1/download/Altal1_FilteredModels1_deflines.gff3.gz,https://genome.jgi.doe.gov/portal/Altal1/download/Altal1_GeneCatalog_CDS_20141010.fasta.gz
Altbr1,Alternaria brassicicola,'Alternaria brassicicola',https://genome.jgi.doe.gov/portal/Altbr1/download/Alternaria_brassicicola_unmasked_assembly.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Altbr1/download/Altbr1.filtered_proteins.External_gene_models.gff3.gz,NO_CDS_URL
Altro1,Alternaria rosae,'Alternaria rosae MPI-PUGE-AT-0040 v1.0',https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_GeneCatalog_20180320.gff3.gz,https://genome.jgi.doe.gov/portal/Altro1/download/Altro1_GeneCatalog_CDS_20180320.fasta.gz
Amamu1,Amanita muscaria,'Amanita muscaria Koide v1.0',https://genome.jgi.doe.gov/portal/Amamu1/download/Amamu1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Amamu1/download/Amamu1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Amamu1/download/Amamu1_GeneCatalog_CDS_20120806.fasta.gz
Amarub1,Amanita rubescens,'Amanita rubescens P\u0159ilba v1.0',https://genome.jgi.doe.gov/portal/Amarub1/download/Amarub1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amarub1/download/Amarub1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amarub1/download/Amarub1_primary_alleles_20190322.gff3.gz,https://genome.jgi.doe.gov/portal/Amarub1/download/Amarub1_GeneCatalog_CDS_20190322.fasta.gz
Amath1,Amanita thiersii,'Amanita thiersii Skay4041 v1.0',https://genome.jgi.doe.gov/portal/Amath1/download/Amath1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Amath1/download/Amath1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Amath1/download/Amath1_GeneCatalog_CDS_20120702.fasta.gz
Ambph1,Ambrosiozyma philentoma,'Ambrosiozyma philentoma NRRL Y-7523',https://genome.jgi.doe.gov/portal/Ambph1/download/Ambph1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Ambph1/download/Ambph1_GeneCatalog_20181206.gff3.gz,https://genome.jgi.doe.gov/portal/Ambph1/download/Ambph1_GeneCatalog_CDS_20181206.fasta.gz
Amnli1,Amniculicola lignicola,'Amniculicola lignicola CBS 123094 v1.0',https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1_MitoScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Amnli1/download/Amnli1_GeneCatalog_CDS_20140304.fasta.gz
Amore1,Amorphotheca resinae,'Amorphotheca resinae v1.0',https://genome.jgi.doe.gov/portal/Amore1/download/Amore1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Amore1/download/Amore1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Amore1/download/Amore1_GeneCatalog_CDS_20110719.fasta.gz
Ampqui1,Ampelomyces quisqualis,'Ampelomyces quisqualis HMLAC05119 v1.0',https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_GeneCatalog_20160127.gff3.gz,https://genome.jgi.doe.gov/portal/Ampqui1/download/Ampqui1_GeneCatalog_CDS_20160127.fasta.gz
Amyenc1,Amylocarpus encephaloides,'Amylocarpus encephaloides TRa018bII v1.0',https://genome.jgi.doe.gov/portal/Amyenc1/download/Amyenc1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amyenc1/download/Amyenc1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amyenc1/download/Amyenc1_GeneCatalog_20190204.gff3.gz,https://genome.jgi.doe.gov/portal/Amyenc1/download/Amyenc1_GeneCatalog_CDS_20190204.fasta.gz
Amysub1,Amylocorticium subincarnatum,'Amylocorticium subincarnatum OMC1654 v1.0',https://genome.jgi.doe.gov/portal/Amysub1/download/Amysub1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amysub1/download/Amysub1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amysub1/download/Amysub1_primary_alleles_20181105.gff3.gz,https://genome.jgi.doe.gov/portal/Amysub1/download/Amysub1_GeneCatalog_CDS_20181105.fasta.gz
Amylap1_1,Amylocystis lapponica,'Amylocystis lapponica SKaAmylap13 v1.0',https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_GeneCatalog_20171107.gff3.gz,https://genome.jgi.doe.gov/portal/Amylap1_1/download/Amylap1_1_GeneCatalog_CDS_20171107.fasta.gz
Amyrou1,Amylomyces rouxii,'Amylomyces rouxii NRRL 5866 v1.0',https://genome.jgi.doe.gov/portal/Amyrou1/download/Amyrou1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amyrou1/download/Amyrou1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amyrou1/download/Amyrou1_GeneCatalog_20181016.gff3.gz,https://genome.jgi.doe.gov/portal/Amyrou1/download/Amyrou1_GeneCatalog_CDS_20181016.fasta.gz
Amycha1,Amylostereum chailletii,'Amylostereum chailletii DWAch2 v1.0',https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_GeneCatalog_20170615.gff3.gz,https://genome.jgi.doe.gov/portal/Amycha1/download/Amycha1_GeneCatalog_CDS_20170615.fasta.gz
Anasp1,Anaeromyces robustus,'Anaeromyces robustus v1.0',https://genome.jgi.doe.gov/portal/Anasp1/download/Anasp1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Anasp1/download/Anasp1_FilteredModels3_deflines.gff3.gz,https://genome.jgi.doe.gov/portal/Anasp1/download/Anasp1_GeneCatalog_CDS_20160330.fasta.gz
Annbov1,Annulohypoxylon bovei,'Annulohypoxylon bovei var. microspora CBS 124037 v1.0',https://genome.jgi.doe.gov/portal/Annbov1/download/Annbov1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annbov1/download/Annbov1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annbov1/download/Annbov1_GeneCatalog_20190619.gff3.gz,https://genome.jgi.doe.gov/portal/Annbov1/download/Annbov1_GeneCatalog_CDS_20190619.fasta.gz
Annmin1,Annulohypoxylon minutellum,'Annulohypoxylon minutellum CBS 135445 v1.0',https://genome.jgi.doe.gov/portal/Annmin1/download/Annmin1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annmin1/download/Annmin1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annmin1/download/Annmin1_GeneCatalog_20190615.gff3.gz,https://genome.jgi.doe.gov/portal/Annmin1/download/Annmin1_GeneCatalog_CDS_20190615.fasta.gz
Annmor1,Annulohypoxylon moriforme,'Annulohypoxylon moriforme CBS 123579 v1.0',https://genome.jgi.doe.gov/portal/Annmor1/download/Annmor1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annmor1/download/Annmor1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annmor1/download/Annmor1_GeneCatalog_20190622.gff3.gz,https://genome.jgi.doe.gov/portal/Annmor1/download/Annmor1_GeneCatalog_CDS_20190622.fasta.gz
Annnit1,Annulohypoxylon nitens,'Annulohypoxylon nitens CBS 120705 v1.0',https://genome.jgi.doe.gov/portal/Annnit1/download/Annnit1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annnit1/download/Annnit1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annnit1/download/Annnit1_GeneCatalog_20190623.gff3.gz,https://genome.jgi.doe.gov/portal/Annnit1/download/Annnit1_GeneCatalog_CDS_20190623.fasta.gz
Annsty1,Annulohypoxylon stygium,'Annulohypoxylon stygium FL0470 v1.0',https://genome.jgi.doe.gov/portal/Annsty1/download/Annsty1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annsty1/download/Annsty1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Annsty1/download/Annsty1_GeneCatalog_20190620.gff3.gz,https://genome.jgi.doe.gov/portal/Annsty1/download/Annsty1_GeneCatalog_CDS_20190620.fasta.gz
Anntru1,Annulohypoxylon truncatum,'Annulohypoxylon truncatum CBS 140777 v1.0',https://genome.jgi.doe.gov/portal/Anntru1/download/Anntru1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anntru1/download/Anntru1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anntru1/download/Anntru1_GeneCatalog_20190615.gff3.gz,https://genome.jgi.doe.gov/portal/Anntru1/download/Anntru1_GeneCatalog_CDS_20190615.fasta.gz
Anoalb1,Anomoloma albolutescens,'Anomoloma albolutescens OMC1655 v1.0',https://genome.jgi.doe.gov/portal/Anoalb1/download/Anoalb1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anoalb1/download/Anoalb1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anoalb1/download/Anoalb1_GeneCatalog_20180530.gff3.gz,https://genome.jgi.doe.gov/portal/Anoalb1/download/Anoalb1_GeneCatalog_CDS_20180530.fasta.gz
Anobom1,Anomoporia bombycina,'Anomoporia bombycina ATCC 64506 v1.0',https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_GeneCatalog_20160510.gff3.gz,https://genome.jgi.doe.gov/portal/Anobom1/download/Anobom1_GeneCatalog_CDS_20160510.fasta.gz
Anomyc1,Anomoporia myceliosa,'Anomoporia myceliosa MJL 4413 v1.0',https://genome.jgi.doe.gov/portal/Anomyc1/download/Anomyc1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anomyc1/download/Anomyc1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Anomyc1/download/Anomyc1_GeneCatalog_20180511.gff3.gz,https://genome.jgi.doe.gov/portal/Anomyc1/download/Anomyc1_GeneCatalog_CDS_20180511.fasta.gz
Antav1,Anthostoma avocetta,'Anthostoma avocetta NRRL 3190 v1.0',https://genome.jgi.doe.gov/portal/Antav1/download/Antav1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Antav1/download/Antav1_MitochondrionScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Antav1/download/Antav1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Antav1/download/Antav1_GeneCatalog_CDS_20130828.fasta.gz
Antlo1,Antonospora locustae,'Antonospora locustae HM-2013',https://genome.jgi.doe.gov/portal/Antlo1/download/Antlo1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Antlo1/download/Antlo1.filtered_proteins.ExternalModels.gff3.gz,https://genome.jgi.doe.gov/portal/Antlo1/download/Antlo1_GeneCatalog_CDS_20130909.fasta.gz
Antser1,Antrodia serialis,'Antrodia serialis Sig1Antser10 v1.0',https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_primary_alleles_20170418.gff3.gz,https://genome.jgi.doe.gov/portal/Antser1/download/Antser1_primary_alleles_CDS_20170418.fasta.gz
Antsi1,Antrodia sinuosa,'Antrodia sinuosa LB1 v1.0',https://genome.jgi.doe.gov/portal/Antsi1/download/Antsi1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Antsi1/download/Antsi1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Antsi1/download/Antsi1_GeneCatalog_CDS_20130416.fasta.gz
Aphpse1,Aphanobasidium pseudotsugae,'Aphanobasidium pseudotsugae OMC1630 v1.0',https://genome.jgi.doe.gov/portal/Aphpse1/download/Aphpse1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aphpse1/download/Aphpse1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Aphpse1/download/Aphpse1_GeneCatalog_20180917.gff3.gz,https://genome.jgi.doe.gov/portal/Aphpse1/download/Aphpse1_GeneCatalog_CDS_20180917.fasta.gz
Apibac1,Apiosordaria backusii,'Apiosordaria backusii CBS 540.89 v1.0',https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_AssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_MitoAssemblyScaffolds.fasta.gz,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_GeneCatalog_20170729.gff3.gz,https://genome.jgi.doe.gov/portal/Apibac1/download/Apibac1_GeneCatalog_CDS_20170729.fasta.gz
Apimo1,Apiospora montagnei,'Apiospora montagnei NRRL 25634 v1.0',https://genome.jgi.doe.gov/portal/Apimo1/download/Apimo1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Apimo1/download/Apimo1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Apimo1/download/Apimo1_GeneCatalog_CDS_20120813.fasta.gz
Aplpr1,Aplosporella prunicola,'Aplosporella prunicola CBS 121.167 v1.0',https://genome.jgi.doe.gov/portal/Aplpr1/download/Aplpr1_AssemblyScaffolds.fasta.gz,NO_mito_URL,https://genome.jgi.doe.gov/portal/Aplpr1/download/Aplpr1.filtered_proteins.FilteredModels1.gff3.gz,https://genome.jgi.doe.gov/portal/Aplpr1/download/Aplpr1_GeneCatalog_CDS_20121211.fasta.gz
